"I like computer science","positive"
"This view is amazing","positive"
"I feel great","positive"
"She is my best friend","positive"
"I am so excited about the movie","positive"
"He is the best trader in the world","positive"
"I like him the most","positive"
"I do not like this movie","negative"
"This view is horrible","negative"
"I hate computer science and mathematics","negative"
"He is my enemy","negative"
"I am not looking forward to the movie","negative"
"I feel tired this morning","negative"
"I feel bad","negative"
"I feel a bit bad","negative"
"I like that man","positive"
